581.53, -124.12, -639.21, 4.00, 174.17, 0.00
183.75, -863.28, 706.41, -410.69, 531.48, 0.00
833.43, -161.78, 204.14, 628.53, 800.16, 2757.05
918.76, 759.03, -640.13, 62.29, 829.89, 4235.95
-266.03, 907.83, 207.07, -591.54, 822.32, 2804.61
-420.03, -851.50, -598.19, -685.17, -92.75, 0.00
-916.26, -151.65, 206.52, -426.07, -46.66, 0.00
947.26, -161.90, -257.97, 717.52, -521.41, 947.40
-113.99, 332.74, -238.01, 836.85, -488.39, 2440.11
827.45, 745.05, 739.98, 483.87, 151.04, 4925.17
-802.12, 677.05, -913.51, 199.13, 192.30, 2259.43
156.47, -376.57, 572.98, 386.64, -182.41, 0.00
-666.25, -916.62, 763.18, 468.12, -470.14, 0.00
-412.82, -630.05, 109.59, 770.56, -282.39, 0.00
378.46, 13.89, 881.65, 72.30, 770.20, 1978.77
-86.95, -362.96, -579.70, 965.15, -635.61, 0.00
912.23, -508.10, 703.79, -645.19, 122.90, 0.00
-88.17, 495.41, -795.16, -238.50, 840.45, 1890.36
-54.23, 836.60, 843.68, -115.82, -724.42, 2009.42
-532.46, -922.61, 837.95, -656.42, 792.29, 0.00
-432.36, 821.89, 485.40, -284.83, 867.79, 3390.90
-624.38, -518.54, 696.28, 192.18, 71.75, 0.00
966.86, 773.19, 601.12, 211.22, 594.04, 4968.40
-679.13, -29.63, -836.42, 263.28, -387.25, 0.00
559.13, 914.18, 730.77, 244.54, 987.67, 5937.39
-619.56, -91.28, -516.10, -562.36, 61.07, 0.00
169.71, 609.18, -111.91, 578.72, 966.61, 5047.56
-702.32, 198.28, -319.25, 81.94, -871.64, 0.00
-148.66, -741.33, -181.13, 259.56, 170.26, 0.00
950.01, -554.61, -654.90, 819.09, -115.33, 204.88
205.42, -248.15, -598.32, -861.69, 208.84, 0.00
139.50, -28.78, -544.54, -487.41, 466.84, 0.00
-738.76, -196.14, 706.11, -513.60, 453.05, 0.00
-675.41, -687.37, 789.36, -710.26, 238.20, 0.00
-679.92, -536.18, 351.42, 270.73, 152.75, 0.00
429.61, 301.80, 161.84, 396.95, 510.18, 3133.93
-78.71, 817.62, 593.80, -693.84, -263.10, 981.13
-330.24, 409.83, 932.19, -937.50, 805.05, 454.55
499.86, -321.39, -738.27, 426.31, 373.27, 414.51
-337.14, -953.79, 208.47, 576.95, -469.59, 0.00
621.27, 110.87, 507.07, 269.51, 491.62, 2387.67
-790.15, 162.14, -798.27, -259.80, 112.95, 0.00
-849.60, 210.91, -408.00, -482.28, -737.17, 0.00
-727.77, -925.05, 477.65, -74.01, -654.41, 0.00
592.09, 937.44, 845.58, -306.13, 215.00, 3587.97
100.74, -846.00, -310.22, 513.90, -808.34, 0.00
-624.99, 173.80, 734.24, 174.29, -483.81, 369.42
424.79, 133.76, 990.78, -396.47, -193.03, 0.00
-707.21, 881.89, -30.12, 154.88, -791.31, 1960.41
352.58, -390.42, -40.80, 988.83, -656.36, 405.15
-87.80, 415.63, -47.03, 173.50, 87.31, 1960.80
399.88, 959.35, 811.94, -406.11, 430.95, 3588.04
764.70, -951.78, -114.72, 684.74, 232.64, 0.00
-883.54, 783.68, -878.54, 202.31, -659.72, 1404.01
-204.26, 788.69, -170.87, 359.72, -317.91, 3050.78
362.22, -788.69, 502.43, 593.49, 988.65, 594.87
-886.59, -137.91, 85.60, -509.81, -399.27, 0.00
-353.50, -674.79, 996.34, 395.67, 357.34, 0.00
800.71, -937.44, 769.71, -635.49, -151.65, 0.00
341.17, -217.02, -562.12, -692.01, -135.90, 0.00
683.89, 798.27, -379.99, 2.84, 281.35, 3434.59
250.16, -323.89, -834.65, -897.76, -40.13, 0.00
736.56, -705.44, -853.21, -560.29, 726.07, 0.00
230.08, -946.53, -697.68, -778.07, -4.61, 0.00
-512.62, 346.84, 444.93, -926.57, 562.79, 0.00
539.48, 567.43, -266.70, 114.35, -548.45, 1698.63
650.20, 469.53, 627.98, 716.48, -479.66, 3494.79
617.97, -356.00, 69.25, -96.29, -790.70, 0.00
-553.58, -469.89, 123.14, -876.40, 849.06, 0.00
-704.28, 675.89, 608.39, 891.84, -100.86, 4414.86
2.47, -778.25, -739.68, 202.67, 759.45, 0.00
264.87, -760.00, -215.49, 908.32, 764.09, 774.99
18.22, -717.15, 933.84, -932.92, 146.21, 0.00
-740.41, -496.99, -885.07, 974.36, -854.43, 0.00
879.02, -548.39, -128.57, 830.93, 400.31, 1206.09
34.94, 43.00, 461.90, -660.27, 910.76, 0.82
758.72, -992.19, -545.58, -187.23, 802.91, 0.00
-840.21, 539.66, 750.60, 960.14, -876.46, 2998.31
-700.86, 648.73, 348.55, 869.93, 844.84, 5480.45
98.79, 413.13, -595.32, -863.16, -712.70, 0.00
-608.14, 620.41, -321.39, -837.70, -932.98, 0.00
292.34, 777.58, 900.02, 613.88, -217.57, 4617.46
685.11, -264.69, -640.25, -988.28, 928.04, 0.00
217.99, -734.06, 265.60, -856.56, 956.91, 0.00
944.33, -606.98, -269.26, -84.81, 21.88, 0.00
-36.90, -368.14, 318.89, -334.64, 941.34, 0.00
-446.76, 241.00, 78.83, -552.84, -58.26, 0.00
-76.14, 785.76, -842.95, 26.76, -97.08, 2246.63
509.38, -85.91, -758.42, -7.29, 463.06, 258.89
-893.49, -664.36, 199.68, -137.06, 379.92, 0.00
491.32, -377.54, -523.73, 241.86, -243.75, 0.00
403.73, 17.18, 125.52, -894.10, 794.43, 0.00
-797.72, 471.48, -554.00, 394.39, 279.76, 2336.53
392.07, -129.98, -368.63, -157.51, -519.64, 0.00
482.53, 540.33, -260.17, -673.94, 101.60, 478.18
906.13, 899.17, -699.39, -847.41, 832.51, 2369.17
-130.34, 175.08, -933.96, -201.27, -97.81, 0.00
131.50, 491.44, -732.78, -624.01, 732.60, 894.27
-359.54, 904.66, -614.18, -590.32, -928.53, 0.00
-521.53, -698.17, 33.66, 227.64, 492.29, 0.00
114.72, 129.86, 41.72, -378.83, 378.03, 111.83
300.15, 919.80, 11.14, 561.08, 414.84, 5451.33
416.36, 503.77, 624.56, 135.96, -86.83, 2550.04
